"region","year","hist","futr"
"USA",1971,214118.994,NA
"USA",1972,216048.91,NA
"USA",1973,218006.635,NA
"USA",1974,219994.049,NA
"USA",1975,222012.648,NA
"USA",1976,224070.951,NA
"USA",1977,226174.201,NA
"USA",1978,228315.206,NA
"USA",1979,230482.084,NA
"USA",1980,232666.125,NA
"USA",1981,234868.429,NA
"USA",1982,237092.661,NA
"USA",1983,239335.924,NA
"USA",1984,241594.79,NA
"USA",1985,243868.284,NA
"USA",1986,246160.18,NA
"USA",1987,248476.513,NA
"USA",1988,250822.149,NA
"USA",1989,253203.039,NA
"USA",1990,255627.219,NA
"USA",1991,258078.712,NA
"USA",1992,260564.475,NA
"USA",1993,263141.324,NA
"USA",1994,265884.637,NA
"USA",1995,268838.833,NA
"USA",1996,272039.022,NA
"USA",1997,275443.843,NA
"USA",1998,278927.536,NA
"USA",1999,282316.553,NA
"USA",2000,285488.591,NA
"USA",2001,288386.98,NA
"USA",2002,291052.207,NA
"USA",2003,293577.58,NA
"USA",2004,296104.756,NA
"USA",2005,298733.194,NA
"USA",2006,301490.211,NA
"USA",2007,304331.884,NA
"USA",2008,307200.8,NA
"USA",2009,310010.519,NA
"USA",2010,312697.403,NA
"USA",2011,315249.701,NA
"USA",2012,317685.991,NA
"USA",2013,320009.699,NA
"USA",2014,322232.197,NA
"USA",2015,324364.786,324365
"Africa_Eastern",1971,81947.585,NA
"Africa_Eastern",1972,84305.559,NA
"Africa_Eastern",1973,86737.239,NA
"Africa_Eastern",1974,89260.779,NA
"Africa_Eastern",1975,91890.103,NA
"Africa_Eastern",1976,94632.957,NA
"Africa_Eastern",1977,97489.11,NA
"Africa_Eastern",1978,100455.142,NA
"Africa_Eastern",1979,103524.06,NA
"Africa_Eastern",1980,106692.509,NA
"Africa_Eastern",1981,109951.55,NA
"Africa_Eastern",1982,113307.31,NA
"Africa_Eastern",1983,116788.653,NA
"Africa_Eastern",1984,120434.545,NA
"Africa_Eastern",1985,124267.964,NA
"Africa_Eastern",1986,128312.519,NA
"Africa_Eastern",1987,132548.202,NA
"Africa_Eastern",1988,136901.894,NA
"Africa_Eastern",1989,141272.733,NA
"Africa_Eastern",1990,145593.085,NA
"Africa_Eastern",1991,149830.285,NA
"Africa_Eastern",1992,154018.957,NA
"Africa_Eastern",1993,158241.314,NA
"Africa_Eastern",1994,162615.658,NA
"Africa_Eastern",1995,167226.896,NA
"Africa_Eastern",1996,172103.933,NA
"Africa_Eastern",1997,177219.863,NA
"Africa_Eastern",1998,182536.287,NA
"Africa_Eastern",1999,187991.466,NA
"Africa_Eastern",2000,193540.372,NA
"Africa_Eastern",2001,199178.595,NA
"Africa_Eastern",2002,204923.046,NA
"Africa_Eastern",2003,210775.505,NA
"Africa_Eastern",2004,216741.898,NA
"Africa_Eastern",2005,222829.112,NA
"Africa_Eastern",2006,229034.719,NA
"Africa_Eastern",2007,235363.087,NA
"Africa_Eastern",2008,241837.032,NA
"Africa_Eastern",2009,248486.344,NA
"Africa_Eastern",2010,255333.082,NA
"Africa_Eastern",2011,262379.291,NA
"Africa_Eastern",2012,269620.328,NA
"Africa_Eastern",2013,277061.846,NA
"Africa_Eastern",2014,284708.733,NA
"Africa_Eastern",2015,292559.641,292560
"Africa_Northern",1971,74015.854,NA
"Africa_Northern",1972,75777.853,NA
"Africa_Northern",1973,77565.399,NA
"Africa_Northern",1974,79408.39,NA
"Africa_Northern",1975,81330.02,NA
"Africa_Northern",1976,83334.168,NA
"Africa_Northern",1977,85419.374,NA
"Africa_Northern",1978,87596.346,NA
"Africa_Northern",1979,89876.376,NA
"Africa_Northern",1980,92265.122,NA
"Africa_Northern",1981,94764.203,NA
"Africa_Northern",1982,97365.248,NA
"Africa_Northern",1983,100050.169,NA
"Africa_Northern",1984,102794.118,NA
"Africa_Northern",1985,105575.14,NA
"Africa_Northern",1986,108386.141,NA
"Africa_Northern",1987,111219.135,NA
"Africa_Northern",1988,114049.813,NA
"Africa_Northern",1989,116849.723,NA
"Africa_Northern",1990,119597.221,NA
"Africa_Northern",1991,122281.914,NA
"Africa_Northern",1992,124903.019,NA
"Africa_Northern",1993,127461.77,NA
"Africa_Northern",1994,129964.104,NA
"Africa_Northern",1995,132415.899,NA
"Africa_Northern",1996,134819.126,NA
"Africa_Northern",1997,137175.79,NA
"Africa_Northern",1998,139493.186,NA
"Africa_Northern",1999,141780.532,NA
"Africa_Northern",2000,144047.834,NA
"Africa_Northern",2001,146304.307,NA
"Africa_Northern",2002,148560.487,NA
"Africa_Northern",2003,150830.129,NA
"Africa_Northern",2004,153128.678,NA
"Africa_Northern",2005,155471.754,NA
"Africa_Northern",2006,157859.784,NA
"Africa_Northern",2007,160304.491,NA
"Africa_Northern",2008,162845.312,NA
"Africa_Northern",2009,165531.488,NA
"Africa_Northern",2010,168395.26,NA
"Africa_Northern",2011,171449.519,NA
"Africa_Northern",2012,174676.561,NA
"Africa_Northern",2013,178038.651,NA
"Africa_Northern",2014,181480.938,NA
"Africa_Northern",2015,184958.655,184959
"Africa_Southern",1971,46855.715,NA
"Africa_Southern",1972,48291.95,NA
"Africa_Southern",1973,49818.132,NA
"Africa_Southern",1974,51409.151,NA
"Africa_Southern",1975,53046.228,NA
"Africa_Southern",1976,54724.884,NA
"Africa_Southern",1977,56450.091,NA
"Africa_Southern",1978,58220.981,NA
"Africa_Southern",1979,60038.786,NA
"Africa_Southern",1980,61904.339,NA
