"","region","year","Rural_pop"
"1","Africa_Eastern",1975,85946377
"2","Africa_Eastern",1990,124790465
"3","Africa_Eastern",2005,180321838
"4","Africa_Eastern",2010,204405955
"5","Africa_Eastern",2015,227491204
"6","Africa_Northern",1975,46040018
"7","Africa_Northern",1990,61824568
"8","Africa_Northern",2005,75562781
"9","Africa_Northern",2010,80043269
"10","Africa_Northern",2015,86007577
"11","Africa_Southern",1975,44574082
"12","Africa_Southern",1990,62944817
"13","Africa_Southern",2005,82984482
"14","Africa_Southern",2010,91311823
"15","Africa_Southern",2015,101394419
"16","Africa_Western",1975,124607768
"17","Africa_Western",1990,167742123
"18","Africa_Western",2005,226165926
"19","Africa_Western",2010,247823172
"20","Africa_Western",2015,270672052
"21","Argentina",1975,4924377
"22","Argentina",1990,4248117
"23","Argentina",2005,3894938
"24","Argentina",2010,3732551
"25","Argentina",2015,3664923
"26","Australia_NZ",1975,2643942
"27","Australia_NZ",1990,2993938
"28","Australia_NZ",2005,3675515
"29","Australia_NZ",2010,3866802
"30","Australia_NZ",2015,4035047
"31","Brazil",1975,42622559
"32","Brazil",1990,39301227
"33","Brazil",2005,32065630
"34","Brazil",2010,30758775
"35","Brazil",2015,29198282
"36","Canada",1975,5644413
"37","Canada",1990,6484711
"38","Canada",2005,6409413
"39","Canada",2010,6482352
"40","Canada",2015,6691082
"41","Central America and Caribbean",1975,24607836
"42","Central America and Caribbean",1990,29130116
"43","Central America and Caribbean",2005,31775298
"44","Central America and Caribbean",2010,31803586
"45","Central America and Caribbean",2015,31690457
"46","Central Asia",1975,26980290
"47","Central Asia",1990,35219110
"48","Central Asia",2005,38945518
"49","Central Asia",2010,40749413
"50","Central Asia",2015,43819316
"51","China",1975,757407246
"52","China",1990,835047765
"53","China",2005,749352182
"54","China",2010,679206337
"55","China",2015,614037700
"56","Colombia",1975,9289877
"57","Colombia",1990,9949619
"58","Colombia",2005,10122893
"59","Colombia",2010,9875678
"60","Colombia",2015,9535148
"61","EU-12",1975,32678003
"62","EU-12",1990,29858256
"63","EU-12",2005,29013696
"64","EU-12",2010,28769609
"65","EU-12",2015,28529400
"66","EU-15",1975,100750677
"67","EU-15",1990,98408679
"68","EU-15",2005,93776647
"69","EU-15",2010,91247505
"70","EU-15",2015,88017673
"71","Europe_Eastern",1975,26622819
"72","Europe_Eastern",1990,22295599
"73","Europe_Eastern",2005,19497484
"74","Europe_Eastern",2010,18449733
"75","Europe_Eastern",2015,17760101
"76","Europe_Non_EU",1975,35413984
"77","Europe_Non_EU",1990,34262563
"78","Europe_Non_EU",2005,32489988
"79","Europe_Non_EU",2010,31134968
"80","Europe_Non_EU",2015,30186925
"81","European Free Trade Association",1975,2957575
"82","European Free Trade Association",1990,2987950
"83","European Free Trade Association",2005,3054787
"84","European Free Trade Association",2010,3138151
"85","European Free Trade Association",2015,3210746
"86","India",1975,490514033
"87","India",1990,648077750
"88","India",2005,817080085
"89","India",2010,856891827
"90","India",2015,889270551
"91","Indonesia",1975,105866758
"92","Indonesia",1990,126448098
"93","Indonesia",2005,123687485
"94","Indonesia",2010,122217940
"95","Indonesia",2015,120962268
"96","Japan",1975,27094387
"97","Japan",1990,27981350
"98","Japan",2005,17916330
"99","Japan",2010,11767072
"100","Japan",2015,10958283
"101","Mexico",1975,21857444
"102","Mexico",1990,23356516
"103","Mexico",2005,24981414
"104","Mexico",2010,24965313
"105","Mexico",2015,24889051
"106","Middle East",1975,39336814
