,scenario,group,year,L,Q,yld,index,,,,
1,E0,Fodder Crops,2015,18.11276252,1759.315456,97.13126057,1,,,,
3,E0,Oil Crops,2015,48.00687068,879.9337615,18.32932972,1,,,,
5,E0,Other Crops,2015,420.4827863,2177.548263,5.178685867,1,,,,
7,E0,Staples,2015,309.0503111,3683.626898,11.91918198,1,,,,
9,E0,SugarCrop,2015,35.71448374,2148.576484,60.15980798,1,831.3672144,10649.00086,12.80902191,
2,E0,Fodder Crops,2100,13.07379931,4458.595858,341.0329127,3.511052062,,,,
4,E0,Oil Crops,2100,44.39171031,2361.485907,53.19655157,2.902263879,,,,
6,E0,Other Crops,2100,243.2986681,4213.620991,17.31871787,3.344230237,,,,
8,E0,Staples,2100,134.1565436,5849.80945,43.60435425,3.658334468,,,,
10,E0,SugarCrop,2100,22.83325796,4853.788689,212.5753889,3.533511758,457.7539792,21737.30089,47.48686386,3.7072982
